Item,Meaning_Mnem,Reading_Mnem,Meaning_Score,Reading_Score,Meaning_User,Reading_User,Info,Last_Updated
v続ける,,,,,,,,Sat Jun 30 2018 13:51:24 GMT-0400 (EDT)
k任,,,,,,,,Sat Mar 14 2020 09:48:30 GMT-0400 (EDT)
k資,,,,,,,,Sat Apr 07 2018 18:52:16 GMT-0400 (EDT)
v乱交,,,,,,,,
v飛行機,,,,,,,,
v容疑者,,,,,,,,Sun Jun 10 2018 15:03:27 GMT-0400 (EDT)
v等しい,,,,,,,,Wed Sep 02 2020 07:07:29 GMT-0400 (EDT)
v宇宙人,,,,,,,,Fri Jun 15 2018 02:27:36 GMT-0400 (EDT)
v比率,,,,,,,,Wed Feb 18 2015 12:19:52 GMT-0500 (EST)
v速度,,,,,,,,Fri May 10 2019 02:12:29 GMT-0400 (EDT)
v説得する,,,,,,,,Fri Jun 15 2018 02:48:06 GMT-0400 (EDT)
v被害,,,,,,,redfr:6241,Wed Apr 22 2015 10:50:17 GMT-0400 (EDT)
k判,!,,,,c,,,Sat Jun 10 2017 12:40:35 GMT-0400 (EDT)
v非難,!,,,,ript:void(0),,,Tue May 12 2020 00:57:08 GMT-0400 (EDT)
k省,,,,,,,,Fri Jun 15 2018 02:14:18 GMT-0400 (EDT)
k審,,,,,,,,
k敵,,,,,,,,
k検,,,,,,,,Sat Jun 30 2018 13:09:13 GMT-0400 (EDT)
v経つ,,"This one's a homonym with <span class=""highlight-reading"">to be built</span> (<span class=""highlight-reading"">建つ</span>). This should help you, because you know that a lot of time has<span class=""highlight-vocabulary""> to pass</span> for something to be built.",,0,,fioraaeterna,,Sat Nov 09 2019 01:11:47 GMT-0500 (EST)
v形容動詞,,,,,,,,Wed Nov 06 2019 01:18:53 GMT-0500 (EST)
v倒産,,,,,,,,Thu Aug 02 2018 04:51:48 GMT-0400 (EDT)
v飛ぶ,,,,,,,,Wed Jul 15 2020 02:55:52 GMT-0400 (EDT)
k件,,,,,,,,
k済,,"You <span class=""highlight-reading"">sigh</span> (さい) because you kinda wish the world wasn't going to <span class=""highlight-kanji"">come to an end</span>, but I guess you just gotta accept it, right?",,0,,fioraaeterna,,Thu Nov 14 2019 14:54:06 GMT-0500 (EST)
v万,,,,,,,,Sat May 16 2020 20:09:57 GMT-0400 (EDT)
k設,,!,,,,c,,Sun Jan 26 2020 22:04:32 GMT-0500 (EST)
k説,,,,,,,redfr:8586,Fri Dec 20 2019 02:13:52 GMT-0500 (EST)
k八,,,,,,,,Mon Nov 23 2020 07:52:27 GMT-0500 (EST)
v正しい,,"You are running down a street. Really fast. Suddenly a stop sign plops up from the ground, or it was there all along, who knows. In order to stop before crossing the line, you have to perform an impressive acrobatic maneuver. You <span class=""highlight-kanji"">correctly</span> land exactly on the line of the stopping sign on both of your feet. To please all the people staring at you, you shout out: <span class=""highlight-vocabulary"">TADAAA!!!</span>",,0,,Dakes,,Fri Nov 27 2020 15:33:56 GMT-0500 (EST)
v女の子,,,,,,,,Tue Feb 26 2019 18:17:58 GMT-0500 (EST)
v正す,,,,,,,,Sat Dec 15 2018 00:40:34 GMT-0500 (EST)
v田,,,,,,,,Fri Feb 01 2019 22:48:18 GMT-0500 (EST)
v子犬,,,,,,,,Tue Feb 26 2019 18:18:04 GMT-0500 (EST)
v文字,,,,,,,,Sun Mar 29 2020 09:27:20 GMT-0400 (EDT)
v虫,,,,,,,,
v花火,,,,,,,,Wed Mar 20 2019 08:21:03 GMT-0400 (EDT)
v赤ちゃん,,,,,,,,Tue Jul 07 2020 13:43:28 GMT-0400 (EDT)
k花,,,,,,,,Sat Feb 16 2019 18:55:16 GMT-0500 (EST)
k写,,,,,,,,Thu Dec 26 2019 20:54:46 GMT-0500 (EST)
k字,,,,,,,,Sun Feb 17 2019 18:52:57 GMT-0500 (EST)
k平,,,,,,,,Sat Feb 16 2019 18:58:28 GMT-0500 (EST)
v二百,,,,,,,,Sat Feb 16 2019 18:57:23 GMT-0500 (EST)
vかき氷,,,,,,,,Fri Apr 03 2020 18:13:31 GMT-0400 (EDT)
k先,"Remember SLIDING down DIRT hills LEGS first? LIke a PREVIOUS life, a PAST life.",,0,,c,,,Sun May 10 2020 16:36:50 GMT-0400 (EDT)
v矢,,!,,,,c,,Wed Dec 11 2019 10:39:54 GMT-0500 (EST)
k戦,,,,,,,redfr:8491,Wed Jan 17 2018 13:23:02 GMT-0500 (EST)
k参,,,,,,,,Fri Jul 01 2016 15:11:05 GMT-0400 (EDT)
k求,,,,,,,redfr:8585,Tue Aug 27 2019 10:22:34 GMT-0400 (EDT)
k骨,!,,,,Sh1sh3,,,Sun Jun 04 2017 04:31:06 GMT-0400 (EDT)
v息子,,,,,,,redfr:8482,Sun Sep 03 2017 13:56:46 GMT-0400 (EDT)
v入館料,,,,,,,,
v駅員,,,,,,,redfr:3838,Mon Feb 16 2015 02:23:47 GMT-0500 (EST)
v橋,,,,,,,,
k特,,The cow is special because it could とく (talk).,,0,,c,,Sun Feb 23 2020 04:08:11 GMT-0500 (EST)
v練習,,,,,,,redfr:3835,Mon Feb 16 2015 02:15:24 GMT-0500 (EST)
k友,,,,,,,,Sat Nov 23 2019 00:32:48 GMT-0500 (EST)
k岸,,,,,,,,
k入,,,,,,,,Sun Dec 27 2020 05:28:03 GMT-0500 (EST)
k九,,,,,,,,Wed Jan 15 2020 09:53:02 GMT-0500 (EST)
k力,,,,,,,redfr:8585,Wed Aug 28 2019 13:37:06 GMT-0400 (EDT)
k玉,,The king is kicking a <b>tama</b>gotchi.,,1,,c,,Sun Nov 22 2020 08:19:49 GMT-0500 (EST)
k丸,,,,,,,,Fri Mar 27 2020 14:06:28 GMT-0400 (EDT)
k条,,!,,,,c,,Sun Jan 26 2020 22:04:44 GMT-0500 (EST)
k制,,!,,,,c,,Sun Jan 26 2020 22:02:47 GMT-0500 (EST)
v圧力,,,,,,,,Sat Jun 30 2018 13:41:14 GMT-0400 (EDT)
k月,,,,,,,,
k土,,,,,,,,Fri Mar 27 2020 14:03:29 GMT-0400 (EDT)
k立,,MY <b>STANDO</b> IS TO SUMMON A <b>RITZ</b> CRACKER.,,0,,c,,Thu Dec 26 2019 23:32:26 GMT-0500 (EST)
v在留,,,,,,,,Sat Jun 30 2018 13:42:49 GMT-0400 (EDT)
k日,,Your KNEES（に）might get ITCHY（ち） if they get sunburned by the sun.,,0,,c,,Sun Jun 14 2020 17:57:19 GMT-0400 (EDT)
k木,,,,,,,redfr:8587,Sun May 03 2020 02:06:43 GMT-0400 (EDT)
k水,,People usually SUIm in water.,,1,,c,,Mon Nov 30 2020 14:15:31 GMT-0500 (EST)
k市,"When you are in the <span class=""highlight-kanji"">city</span> and you put out your towel to dry, you have to cover it up, otherwise it might get stolen!","You know the Chinese dude in South park who has a restaurant called <span class=""highlight-kanji"">city</span> wok? In one episode a Japanese dude opens a restaurant called <span class=""highlight-kanji"">city</span> shushi and a fight breaks out. But because of their accent they both say <span class=""highlight-reading"">shi</span>ty not <span class=""highlight-kanji"">city</span>.",-1,1,Dakes,Dakes,,Mon Dec 21 2020 16:22:58 GMT-0500 (EST)
k宿,,,,,,,redfr:8586,Mon Nov 04 2019 01:27:33 GMT-0500 (EST)
k車,,,,,,,redfr:8606,Thu Sep 03 2020 11:45:34 GMT-0400 (EDT)
k気,,"Energy is KI in DBZ.|You find the <span class=""highlight-reading"">key</span> (き) to the greatest <span class=""highlight-kanji"">energy</span> source of all. Fusion!",,0|0,,c|Dakes,,Mon Dec 07 2020 05:42:35 GMT-0500 (EST)
k足,,!,,,,c,,Sun Dec 08 2019 14:14:19 GMT-0500 (EST)
k虫,,,,,,,,Sat Feb 16 2019 18:59:34 GMT-0500 (EST)
k主,!,,,,c,,,Thu Jan 23 2020 23:15:33 GMT-0500 (EST)
k皿,,,,,,,,Thu Nov 03 2016 19:27:33 GMT-0400 (EDT)
k赤,,,,,,,,Tue Jul 02 2019 14:19:08 GMT-0400 (EDT)
k休,,She looks so CUTE (KYUU) when shes resting.,,2,,c,,Mon Dec 07 2020 19:09:08 GMT-0500 (EST)
v震度,,,,,,,,
k息,,,,,,,,Mon Apr 15 2019 14:06:37 GMT-0400 (EDT)
v病人,,,,,,,,Mon Apr 15 2019 14:05:32 GMT-0400 (EDT)
v命令,,,,,,,,Mon Apr 15 2019 14:14:29 GMT-0400 (EDT)
k屋,,,,,,,,Sun Mar 10 2019 19:30:55 GMT-0400 (EDT)
v何日,,,,,,,,Sun Mar 31 2019 08:12:55 GMT-0400 (EDT)
v育つ,,,,,,,,Mon Apr 15 2019 14:22:05 GMT-0400 (EDT)
k湯,,!,,,,c,,Mon Aug 10 2020 22:42:18 GMT-0400 (EDT)
v直行,,"What are the things you can eat <b>nonstop</b>? I'm sure many will answer <span class=""highlight-reading"">ちょっこう</span>late.",,2,,ript:void(0),,Tue Nov 03 2020 16:46:18 GMT-0500 (EST)
v強い,,,,,,,,Thu Jan 02 2020 18:33:11 GMT-0500 (EST)
v受付,,,,,,,,Wed Aug 29 2018 03:44:19 GMT-0400 (EDT)
v当てる,"The <span class=""highlight-kanji"">て</span> in <span class=""highlight-vocabulary"">当てる</span> stands for <span class=""highlight-reading"">Tentative</span>. This is because you have to <span class=""highlight-reading"">guess</span> the reading and you are  unsure of the meaning.",,0,,c,,,Mon Jun 29 2020 18:37:32 GMT-0400 (EDT)
v使い方,,,,,,,redfr:8491,Thu Dec 21 2017 10:33:41 GMT-0500 (EST)
v便利,,,,,,,,Mon Apr 15 2019 14:10:56 GMT-0400 (EDT)
v安売り,,,,,,,,Thu Apr 11 2019 23:02:56 GMT-0400 (EDT)
v安心,,,,,,,redfr:8586,Tue Feb 18 2020 00:42:55 GMT-0500 (EST)
v仲間,,,,,,,,Thu Apr 11 2019 22:55:32 GMT-0400 (EDT)
v長い,,,,,,,,Fri Apr 03 2020 11:36:48 GMT-0400 (EDT)
v最初,,,,,,,,Fri Apr 29 2016 12:08:09 GMT-0400 (EDT)
v伝,,!,,,,c,,Fri Sep 04 2020 00:06:47 GMT-0400 (EDT)
k思,,,,,,,,Sat Nov 17 2018 05:29:43 GMT-0500 (EST)
v特別,,,,,,,,Sat May 04 2019 21:25:29 GMT-0400 (EDT)
v人性,,,,,,,,Thu Feb 19 2015 08:53:28 GMT-0500 (EST)
v約する,,,,,,,,
vこの辺,,,,,,,,
k夜,,,,,,,,Mon Feb 12 2018 12:28:36 GMT-0500 (EST)
v乗り場,,,,,,,,Sat Apr 04 2020 11:38:54 GMT-0400 (EDT)
v目標,"Imagine a football/soccer *goal* made out of signposts, with a one-eyed goalkeeper between them.  Because this match takes place in a very poor town, the playing field is made of all sorts of makeshift items. You can image bare-footed players kicking a ball made out of old rags, in a dirt field. The goal? It's made of old, rusty signposts. That's all they had in this town to make up a goal.

There's a goalkeeper with one eye standing between the signposts that make up this makeshift *goal* in a poor suburban town. Your goal is to score goals!",,1,,Artur,,,Sat Nov 24 2018 23:52:41 GMT-0500 (EST)
v先回り,,,,,,,,Sat May 16 2020 20:11:37 GMT-0400 (EDT)
k築,,,,,,,redfr:8586,Sat Nov 30 2019 06:15:24 GMT-0500 (EST)
k勇,,,,,,,,
v初級,,,,,,,redfr:8586,Sat Oct 12 2019 03:22:09 GMT-0400 (EDT)
v温かい,,,,,,,,Mon Jun 15 2020 14:48:01 GMT-0400 (EDT)
v流行,,,,,,,,Thu Jun 25 2020 02:23:51 GMT-0400 (EDT)
k読,,,,,,,,Fri Apr 26 2019 05:28:20 GMT-0400 (EDT)
v二階,,,,,,,redfr:8491,Sun Mar 11 2018 06:30:43 GMT-0400 (EDT)
v消化,,,,,,,redfr:8402,Sun Mar 12 2017 14:19:45 GMT-0400 (EDT)
k算,,"Think of Sans Undertale coming thru the bamboo shoots to say ""you're gonna have a bad time."".",,0,,c,,Wed Jan 22 2020 10:38:17 GMT-0500 (EST)
v事実,,,,,,,,Mon May 13 2019 05:05:32 GMT-0400 (EDT)
v寒い,,,,,,,,
v店員,,,,,,,redfr:8586,Mon Oct 21 2019 04:51:02 GMT-0400 (EDT)
v短刀,,,,,,,redfr:8472,Sat May 27 2017 21:36:23 GMT-0400 (EDT)
v七,,,,,,,,Mon Jun 04 2018 06:14:35 GMT-0400 (EDT)
v展開,,,,,,,,
v二つ,,,,,,,,Mon Jun 04 2018 06:13:16 GMT-0400 (EDT)
v一,,,,,,,,Wed Dec 16 2015 18:02:09 GMT-0500 (EST)
v九,,,,,,,,Mon Jun 04 2018 06:14:32 GMT-0400 (EDT)
v川口,,,,,,,,Mon Aug 17 2015 11:38:50 GMT-0400 (EDT)
v出す,,,,,,,,Sat Jul 25 2020 17:18:50 GMT-0400 (EDT)
v入り口,,,,,,,redfr:8516,Tue Jan 22 2019 04:14:50 GMT-0500 (EST)
v大人,,!,,,,c,,Fri Jul 10 2020 15:21:48 GMT-0400 (EDT)
v二,,,,,,,,Mon May 18 2020 17:49:16 GMT-0400 (EDT)
v九つ,,,,,,,,Sun Feb 10 2019 01:43:18 GMT-0500 (EST)
v七つ,,,,,,,,Thu Dec 12 2019 01:25:42 GMT-0500 (EST)
k視,"It's a model of that lantern knife green guy from FF7
https://finalfantasy.fandom.com/wiki/Tonberry_(Final_Fantasy_VII).",,0,,c,,,Wed Jan 08 2020 18:55:54 GMT-0500 (EST)
v大作,,"Finally you have finished your <span class=""highlight-vocabulary"">masterpiece</span>! It is a load of <span class=""highlight-reading"">ties</span> stiched together to make a <span class=""highlight-reading"">sack</span>. Look at all the different colours and patterns come together to make a familiar piece of art... whatever that is.",,0,,c,,Mon May 18 2020 20:07:06 GMT-0400 (EDT)
k的,,"Your target can also be your enemy (敵) <span class=""highlight-reading"">(てき)</span>.",,0,,c,,Sun Aug 30 2020 16:30:34 GMT-0400 (EDT)
v総合,,,,,,,,Sat Jun 30 2018 14:00:30 GMT-0400 (EDT)
v地域,,,,,,,,Fri Jun 29 2018 22:40:04 GMT-0400 (EDT)
k株,"<img src=""https://i.imgur.com/wOr9Sve.png"">.",,0,,fioraaeterna,,,Sun Dec 08 2019 12:21:15 GMT-0500 (EST)
v大きい,,,,,,,,Mon Jul 16 2018 15:44:23 GMT-0400 (EDT)
v下がる,,,,,,,,Sat Mar 09 2019 15:28:02 GMT-0500 (EST)
v機,,,,,,,,Fri Jun 29 2018 22:23:21 GMT-0400 (EDT)
v暴力団,,,,,,,,
k箱,,,,,,,redfr:8586,Mon Dec 02 2019 20:44:21 GMT-0500 (EST)
v面倒,,,,,,,,Sun Jun 10 2018 15:25:09 GMT-0400 (EDT)
v卒業する,,,,,,,,Wed Jun 06 2018 09:36:17 GMT-0400 (EDT)
v公設,,,,,,,,
v議論,,,,,,,,Mon Jun 11 2018 20:43:42 GMT-0400 (EDT)
v余震,,,,,,,,Sun Sep 09 2018 08:09:45 GMT-0400 (EDT)
v主因,,,,,,,redfr:8003,Mon Apr 18 2016 21:31:12 GMT-0400 (EDT)
v改まる,,"Remember the word 新た (あらた)? It means <i>new</i>. So <span class=""highlight-reading"">あらたまる</span> means to be<span class=""highlight-vocabulary""> re-newed</span>.",,5,,fioraaeterna,,Wed Aug 26 2020 17:16:39 GMT-0400 (EDT)
v犯人,,,,,,,,Fri Jun 15 2018 02:43:04 GMT-0400 (EDT)
v制度,,,,,,,,
v建設,,,,,,,,Sat Jun 30 2018 14:02:22 GMT-0400 (EDT)
v制服,,,,,,,,Sat Feb 28 2015 00:29:21 GMT-0500 (EST)
v警察官,,,,,,,,Sat Jun 30 2018 13:52:57 GMT-0400 (EDT)
v優秀,,,,,,,,Sat Apr 07 2018 19:25:14 GMT-0400 (EDT)
v余裕,,,,,,,,Sat Jun 30 2018 13:44:16 GMT-0400 (EDT)
k贅,,,,,,,,Tue Sep 10 2019 00:37:27 GMT-0400 (EDT)
v準備,,,,,,,,Sat Apr 07 2018 19:13:48 GMT-0400 (EDT)
k境,,,,,,,,
k管,"A government <span class=""highlight-kanji"">(官)</span> official may smoke a <span class=""highlight-kanji"">pipe</span> made out of <span class=""highlight-radical"">bamboo</span>.",,0,,c,,,Thu Nov 08 2018 17:47:01 GMT-0500 (EST)
v現場,,,,,,,redfr:8404,Tue Mar 14 2017 08:14:24 GMT-0400 (EDT)
k触,,,,,,,,Tue Mar 13 2018 15:53:44 GMT-0400 (EDT)
v妹,,,,,,,redfr:8586,Tue Feb 18 2020 01:01:03 GMT-0500 (EST)
v優先,"The <span class=""highlight-kanji"">previous</span> thing was <span class=""highlight-kanji"">superior</span>. In other words, you did the superior thing before everything else. There was a good reason for this: It had a higher <span class=""highlight-vocabulary"">priority</span>.",,7,,PixelJadke,,,Tue Dec 03 2019 15:04:54 GMT-0500 (EST)
k差,"The sheep who worked for a construction company, さed (sawed) off both his legs in order to claim compensation. 
but when the compensation team came round to his house to inspect these stinky stumps, they said dis stinks! (distinction),something ain't right. 
they had deduced that it was a self inflicted wound! dis  stinky sheep can be seen dragging its  self through town with it's さed of  legs. 
because of this, his stinky legs are very infected and stinky! every where he goes people can smell the sheeps rotten さed of  stinky leg stumps, and every one says  dis stinky! dis stinky!",!,0,,c,c,,Wed Jul 31 2019 17:57:38 GMT-0400 (EDT)
vお兄さん,,,,,,,,Thu Jan 02 2020 18:31:05 GMT-0500 (EST)
v〜人,,,,,,,,Mon Dec 16 2019 19:18:08 GMT-0500 (EST)
v止める,,,,,,,,Fri Apr 05 2019 08:10:09 GMT-0400 (EDT)
v写る,,,,,,,,Sat May 16 2020 20:03:03 GMT-0400 (EDT)
v火曜日,,,,,,,,Sat Mar 07 2015 23:19:42 GMT-0500 (EST)
k調,,,,,,,,Thu May 09 2019 07:29:48 GMT-0400 (EDT)
v折角,"Think of Porygon. This guy is made up of so many <span class=""highlight-kanji"">folded</span> <span class=""highlight-kanji"">angles</span> that anyone can only give Porygon a hug <span class=""highlight-vocabulary"">with difficulty</span>. <img src=""http://cdn.bulbagarden.net/upload/6/6b/137Porygon.png"" />.|There are multiple expressions in French to express this word. 
The closest I know in English is:

""Bending over backward for someone""

If your  GOING THROUGH THE TROUBLE to bend over backward, you are in many folding angles. 
You can only accomplish this WITH DIFFICULTY.",,14|0,,gcr|zenbeat,,,Mon Apr 13 2020 12:42:56 GMT-0400 (EDT)
v外面,,,,,,,,Sun Oct 29 2017 13:48:31 GMT-0400 (EDT)
v干す,,,,,,,,Thu Sep 03 2020 10:46:51 GMT-0400 (EDT)
v無事,,,,,,,,Thu Feb 07 2019 11:55:09 GMT-0500 (EST)
v薬方,,,,,,,,
v下書き,,,,,,,,Tue Mar 01 2016 09:08:12 GMT-0500 (EST)
v取り分け,,,,,,,,Fri Jun 29 2018 22:48:45 GMT-0400 (EDT)
v大阪弁,,,,,,,,
v無知,"A <span class=""highlight-reading"">mooch</span> (むち) is very <span class=""highlight-vocabulary"">ignorant</span> of the fact that people are spending their hard-earned money on his and he's doing absolutely no work to deserve it.",,1,,RayOElGatubelo,,,Mon Sep 21 2020 00:55:17 GMT-0400 (EDT)
v工場,,,,,,,,Mon Aug 14 2017 20:54:30 GMT-0400 (EDT)
k弓,,,,,,,redfr:8096,Sat May 21 2016 23:47:19 GMT-0400 (EDT)
v無名,,,,,,,redfr:6241,Thu Apr 23 2015 13:18:05 GMT-0400 (EDT)
v結果,"If I tie up a bunch of fruit together, what will be the RESULT??? I imagine the RESULT will be a giant macrame filled with spoiled fruit...",,1,,VikiO,,,Mon Jul 02 2018 00:42:14 GMT-0400 (EDT)
v公園,,,,,,,,Sun Oct 29 2017 13:44:21 GMT-0400 (EDT)
v土曜日,"Saturday is named after Saturn
Saturn in Japanese is 土星 --> Saturday in Japanese is 土曜日.",,0,,c,,,Thu Jun 07 2018 22:26:46 GMT-0400 (EDT)
v証明書,,,,,,,,Sun Jun 10 2018 15:40:54 GMT-0400 (EDT)
v月曜日,,,,,,,redfr:6241,Wed Apr 22 2015 14:07:31 GMT-0400 (EDT)
v取り出す,,,,,,,,Fri Jun 15 2018 15:23:57 GMT-0400 (EDT)
v落書き,,,,,,,,
v干天,,,,,,,redfr:8586,Thu Oct 24 2019 02:22:04 GMT-0400 (EDT)
vイギリス人,,,,,,,redfr:8606,Tue Aug 25 2020 04:04:26 GMT-0400 (EDT)
v栄光,,People are singing praises and exhaulting your glory. The echoes (えいこう) of those praises can be heard from far away.,,0,,c,,Thu Jun 25 2020 04:53:40 GMT-0400 (EDT)
v欠席,,,,,,,,Fri Jun 15 2018 02:54:48 GMT-0400 (EDT)
v無休,,,,,,,,
v笑い,,,,,,,redfr:8586,Wed Dec 25 2019 04:20:07 GMT-0500 (EST)
v臭い,,,,,,,,
k素,,,,,,,redfr:8338,Fri Dec 23 2016 12:05:34 GMT-0500 (EST)
k断,,,,,,,,Thu Feb 19 2015 19:58:47 GMT-0500 (EST)
v防ぐ,,!,,,,c,,Sat Mar 28 2020 19:30:07 GMT-0400 (EDT)
k落,,"After kissing in the pile of leaves, the boy <span class=""highlight-kanji"">fell</span> onto a <span class=""highlight-reading"">rake</span>, the spikes impaling in the neck. That's right, it's suddenly a horror movie.",,0,,c,,Mon Jun 22 2020 06:15:38 GMT-0400 (EDT)
k配,,"<span class=""highlight-radical"">You</span> <span class=""highlight-kanji"">distribute</span> <span class=""highlight-radical"">alcohol</span> to everyone to get drunk and weed to everyone to get <span class=""highlight-reading"">high</span>.",,0,,c,,Thu Jun 18 2020 13:28:10 GMT-0400 (EDT)
v余計,,,,,,,,Fri Jun 15 2018 02:55:05 GMT-0400 (EDT)
v夫妻,,,,,,,,Sat Jun 30 2018 13:42:12 GMT-0400 (EDT)
k顔,,,,,,,,Fri Jul 01 2016 15:10:53 GMT-0400 (EDT)
k路,"Your <span class=""highlight-radical"">foot</span> <span class=""highlight-radical"">kisses</span> the <span class=""highlight-kanji"">road</span> with each step you take.",,0,,c,,,Mon Aug 24 2020 00:12:02 GMT-0400 (EDT)
k句,,,,,,,,Thu Apr 23 2015 14:57:41 GMT-0400 (EDT)
v在外,,,,,,,,Sat Jun 30 2018 22:55:23 GMT-0400 (EDT)
v三個,,,,,,,redfr:6241,Wed Apr 22 2015 09:06:02 GMT-0400 (EDT)
k漢,,,,,,,redfr:8481,Mon Jul 17 2017 15:22:43 GMT-0400 (EDT)
v日光浴,,,,,,,,Fri Jun 29 2018 22:42:17 GMT-0400 (EDT)
v楽勝,,,,,,,redfr:8586,Thu Oct 17 2019 11:36:55 GMT-0400 (EDT)
v日曜日,,,,,,,,
v順位,,,,,,,,Sun Apr 15 2018 16:27:52 GMT-0400 (EDT)
v鼻の穴,,,,,,,,
v訓練,,,,,,,,
v作品,,,,,,,,Sat Jul 07 2018 11:26:52 GMT-0400 (EDT)
v持つ,,,,,,,,Wed Aug 19 2020 03:53:37 GMT-0400 (EDT)
v四季,,,,,,,,
v穴場,,,,,,,,
v早速,,,,,,,redfr:8510,Sat Sep 08 2018 16:55:20 GMT-0400 (EDT)
v辺り,,"You're in the middle of a desert and the ground around you is soft. As you look around, the floor is actually the remains of many <span class=""highlight-reading"">atari</span> game cartridges. If you know this one it is, good for you! If not , just look up ""Atari desert"".",,0,,c,,Tue May 26 2020 22:23:59 GMT-0400 (EDT)
v集団,,,,,,,,
v防火,,,,,,,,
k辺,,Imagine  a hen (へん) moving around in a scooter with a big sword in his hand.,,0,,c,,Tue Aug 04 2020 00:42:28 GMT-0400 (EDT)
v和服,,,,,,,,Tue Mar 13 2018 02:11:20 GMT-0400 (EDT)
k映,,,,,,,,Tue Oct 18 2016 16:28:04 GMT-0400 (EDT)
v公共,,,,,,,,Tue Dec 10 2019 15:03:09 GMT-0500 (EST)
k番,,,,,,,,Sun Mar 31 2019 08:09:41 GMT-0400 (EDT)
v画面,,,,,,,,
v変人,,,,,,,,Fri Jun 29 2018 22:21:08 GMT-0400 (EDT)
k留,,<b>Shou</b> me the evidence that he committed the crime.,,0,,c,,Tue Nov 03 2020 16:18:08 GMT-0500 (EST)
v竹の子,,,,,,,,Fri Nov 10 2017 04:57:09 GMT-0500 (EST)
k整,,,,,,,,Mon Aug 19 2019 14:17:48 GMT-0400 (EDT)
v混む,,,,,,,,Sat Jun 30 2018 13:50:11 GMT-0400 (EDT)
v競う,,,,,,,redfr:8491,Fri Mar 02 2018 09:46:27 GMT-0500 (EST)
k験,,YES YOU CAN! (けん) pass the test.,,0,,c,,Sun Mar 01 2020 18:50:23 GMT-0500 (EST)
k煙,,,,,,,,Sun Feb 11 2018 05:42:35 GMT-0500 (EST)
k訓,,,,,,,redfr:8586,Tue Dec 24 2019 10:13:57 GMT-0500 (EST)
v流す,,,,,,,,Tue Feb 11 2020 07:05:11 GMT-0500 (EST)
v機嫌,,,,,,,,Thu Aug 02 2018 05:02:42 GMT-0400 (EDT)
v固有名詞,,,,,,,,Sat Jun 30 2018 14:01:39 GMT-0400 (EDT)
v書き方,,,,,,,,Thu Mar 31 2016 15:11:48 GMT-0400 (EDT)
v手荷物,,,,,,,redfr:8586,Tue Nov 12 2019 01:45:57 GMT-0500 (EST)
v二日,,!,,,,c,,Mon Jun 08 2020 17:07:18 GMT-0400 (EDT)
vお笑い,,,,,,,,
v虚弱,,,,,,,redfr:8096,Sat May 21 2016 20:08:01 GMT-0400 (EDT)
v留学生,,,,,,,,
v食堂,,,,,,,,
v以前,,,,,,,,Sat May 16 2020 20:02:26 GMT-0400 (EDT)
v運転手,,,,,,,redfr:8586,Wed Oct 16 2019 02:36:33 GMT-0400 (EDT)
v全員,,,,,,,,
v注意,,"CAUTION, ちゅうい (Chewie), There's stormtroopers around!",,0,,c,,Sun Mar 01 2020 04:22:23 GMT-0500 (EST)
v取材,You are taking samples from all the lumber coming into the area because of an infestation of lumber beetles. You are collecting data an the amount of incoming beetles.,,0,,c,,,Sat Sep 05 2020 00:37:41 GMT-0400 (EDT)
v不良,,,,,,,redfr:8586,Tue Oct 15 2019 03:05:48 GMT-0400 (EDT)
v第一,,,,,,,,
k祈,,,,,,,redfr:8586,Tue Dec 24 2019 21:02:56 GMT-0500 (EST)
k干,,,,,,,,
k好,,,,,,,redfr:8487,Sat Nov 18 2017 04:29:33 GMT-0500 (EST)
v成る,,,,,,,,Sun Mar 15 2020 13:39:18 GMT-0400 (EDT)
v暑い,,,,,,,redfr:8482,Wed Aug 30 2017 04:58:00 GMT-0400 (EDT)
v漢字,,Surely you must know this by now right?,,0,,c,,Mon Jun 22 2020 06:56:43 GMT-0400 (EDT)
k拾,,,,,,,,
v間に合う,,,,,,,,Wed May 20 2020 04:37:30 GMT-0400 (EDT)
v農民,,,,,,,,
v宿,,!,,,,c,,Sun Jan 26 2020 03:39:03 GMT-0500 (EST)
v新宿,,,,,,,redfr:8586,Sun Oct 20 2019 03:13:40 GMT-0400 (EDT)
v流行歌,,,,,,,redfr:3838,Mon Feb 16 2015 02:21:18 GMT-0500 (EST)
v地下鉄,"<span class=""highlight-vocabulary"">地下</span> means underground. Add a giant moving block of <span class=""highlight-kanji"">iron</span> and you got yourself a subyway.",,0,,c,,,Mon Jun 22 2020 07:14:21 GMT-0400 (EDT)
k中,,You CHEW(CHUU) a stick in the middle of you mouth.,,0,,c,,Tue May 05 2020 06:32:57 GMT-0400 (EDT)
v以外,,,,,,,,Wed May 08 2019 20:37:54 GMT-0400 (EDT)
v直る,,,,,,,,Mon Aug 14 2017 21:07:06 GMT-0400 (EDT)
v頭,,,,,,,,
v鉄人,,,,,,,redfr:8310,Mon Sep 05 2016 01:35:43 GMT-0400 (EDT)
v電鉄,,,,,,,redfr:8324,Wed Nov 23 2016 11:08:50 GMT-0500 (EST)
